part,tag,mode,N,fanout,ttl,seed,base_port,msg_id,run_dir
part3_fanout,part3fan,push,50,2,8,52,32490,c7f81da7-341c-424b-9ff2-82accb770cb8,results_production/part3_push_ttl_fanout/logs/fanout_sweep/run_part3fan_N50_F2_T8_seed52_push_1772113103724
part3_fanout,part3fan,push,50,2,8,53,42329,9a8bf1be-f20e-45a2-811b-5c0cf8ee51a7,results_production/part3_push_ttl_fanout/logs/fanout_sweep/run_part3fan_N50_F2_T8_seed53_push_1772113139243
part3_fanout,part3fan,push,50,2,8,54,29259,857a7df5-18a0-48bd-83c3-84e0d6adb2b4,results_production/part3_push_ttl_fanout/logs/fanout_sweep/run_part3fan_N50_F2_T8_seed54_push_1772113174829
part3_fanout,part3fan,push,50,3,8,50,33836,ec063c64-2adc-430e-8f47-306c945b32a7,results_production/part3_push_ttl_fanout/logs/fanout_sweep/run_part3fan_N50_F3_T8_seed50_push_1772113210359
part3_fanout,part3fan,push,50,3,8,51,38111,bfa21280-92e1-46fc-990e-c464822e148a,results_production/part3_push_ttl_fanout/logs/fanout_sweep/run_part3fan_N50_F3_T8_seed51_push_1772113245853
part3_fanout,part3fan,push,50,3,8,52,28009,ab20993e-1ae4-4ca5-afca-435321c9da00,results_production/part3_push_ttl_fanout/logs/fanout_sweep/run_part3fan_N50_F3_T8_seed52_push_1772113281367
part3_fanout,part3fan,push,50,3,8,53,36914,86bbfb5d-b7e0-49e2-a376-c67b4e440423,results_production/part3_push_ttl_fanout/logs/fanout_sweep/run_part3fan_N50_F3_T8_seed53_push_1772113316927
part3_fanout,part3fan,push,50,3,8,54,36343,2dd12b21-0870-4a3c-87f6-e58a05a9da82,results_production/part3_push_ttl_fanout/logs/fanout_sweep/run_part3fan_N50_F3_T8_seed54_push_1772113352473
part3_fanout,part3fan,push,50,5,8,50,44175,49c5687b-0c1e-4021-9bfc-2c9520c5daa2,results_production/part3_push_ttl_fanout/logs/fanout_sweep/run_part3fan_N50_F5_T8_seed50_push_1772113387910
part3_fanout,part3fan,push,50,5,8,51,45387,1a42f9b4-9603-4d6c-bbc3-c91ff82aae3d,results_production/part3_push_ttl_fanout/logs/fanout_sweep/run_part3fan_N50_F5_T8_seed51_push_1772113423477
part3_fanout,part3fan,push,50,5,8,52,36309,54365e2d-7e13-4db5-a032-e484c1f432af,results_production/part3_push_ttl_fanout/logs/fanout_sweep/run_part3fan_N50_F5_T8_seed52_push_1772113458954
part3_fanout,part3fan,push,50,5,8,53,40376,647aedcf-99d5-4418-9f44-08eeb0805057,results_production/part3_push_ttl_fanout/logs/fanout_sweep/run_part3fan_N50_F5_T8_seed53_push_1772113494480
part3_fanout,part3fan,push,50,5,8,54,31709,8627689c-87f9-44b6-8500-8afb12369f33,results_production/part3_push_ttl_fanout/logs/fanout_sweep/run_part3fan_N50_F5_T8_seed54_push_1772113529945
part3_fanout,part3fan,push,50,8,8,50,30155,0881ff0d-60ee-4663-93ee-1607b49d2763,results_production/part3_push_ttl_fanout/logs/fanout_sweep/run_part3fan_N50_F8_T8_seed50_push_1772113565456
part3_fanout,part3fan,push,50,8,8,51,17274,95c63cf0-6a77-4f74-81a5-2c2e8cdeee45,results_production/part3_push_ttl_fanout/logs/fanout_sweep/run_part3fan_N50_F8_T8_seed51_push_1772113600964
part3_fanout,part3fan,push,50,8,8,52,13213,d6914b16-9a71-49c7-9c4c-20a58e3c3d31,results_production/part3_push_ttl_fanout/logs/fanout_sweep/run_part3fan_N50_F8_T8_seed52_push_1772113636493
part3_fanout,part3fan,push,50,8,8,53,40315,f054d141-b5c5-4854-9682-900f9e54275d,results_production/part3_push_ttl_fanout/logs/fanout_sweep/run_part3fan_N50_F8_T8_seed53_push_1772113672002
part3_fanout,part3fan,push,50,8,8,54,36150,dfdd6344-4122-4674-8bc5-89437e997c87,results_production/part3_push_ttl_fanout/logs/fanout_sweep/run_part3fan_N50_F8_T8_seed54_push_1772113707462
